"label","n","parent","id"
"Colombia",14,"Sci Fi","Sci Fi  -  Colombia"
"Colombia",2,"Short","Short  -  Colombia"
"Colombia",5,"Sport","Sport  -  Colombia"
"Colombia",73,"Thriller","Thriller  -  Colombia"
"Colombia",2,"War","War  -  Colombia"
"Costa Rica",123,"Action","Action  -  Costa Rica"
"Costa Rica",2,"Adult","Adult  -  Costa Rica"
"Costa Rica",97,"Adventure","Adventure  -  Costa Rica"
"Costa Rica",63,"Animation","Animation  -  Costa Rica"
"Costa Rica",8,"Biography","Biography  -  Costa Rica"
"Costa Rica",204,"Comedy","Comedy  -  Costa Rica"
"Costa Rica",104,"Crime","Crime  -  Costa Rica"
"Costa Rica",20,"Documentary","Documentary  -  Costa Rica"
"Costa Rica",328,"Drama","Drama  -  Costa Rica"
"Costa Rica",16,"Family","Family  -  Costa Rica"
"Costa Rica",21,"Fantasy","Fantasy  -  Costa Rica"
"Costa Rica",1,"Game Show","Game Show  -  Costa Rica"
"Costa Rica",24,"Horror","Horror  -  Costa Rica"
"Costa Rica",35,"Music","Music  -  Costa Rica"
"Costa Rica",1,"Musical","Musical  -  Costa Rica"
"Costa Rica",44,"Mystery","Mystery  -  Costa Rica"
"Costa Rica",4,"Reality TV","Reality TV  -  Costa Rica"
"Costa Rica",135,"Romance","Romance  -  Costa Rica"
"Costa Rica",14,"Sci Fi","Sci Fi  -  Costa Rica"
"Costa Rica",2,"Short","Short  -  Costa Rica"
"Costa Rica",7,"Sport","Sport  -  Costa Rica"
"Costa Rica",69,"Thriller","Thriller  -  Costa Rica"
"Costa Rica",2,"War","War  -  Costa Rica"
"Croatia",165,"Action","Action  -  Croatia"
"Croatia",3,"Adult","Adult  -  Croatia"
"Croatia",112,"Adventure","Adventure  -  Croatia"
"Croatia",54,"Animation","Animation  -  Croatia"
"Croatia",11,"Biography","Biography  -  Croatia"
"Croatia",209,"Comedy","Comedy  -  Croatia"
"Croatia",137,"Crime","Crime  -  Croatia"
"Croatia",38,"Documentary","Documentary  -  Croatia"
"Croatia",305,"Drama","Drama  -  Croatia"
"Croatia",22,"Family","Family  -  Croatia"
"Croatia",28,"Fantasy","Fantasy  -  Croatia"
"Croatia",15,"Game Show","Game Show  -  Croatia"
"Croatia",5,"History","History  -  Croatia"
"Croatia",20,"Horror","Horror  -  Croatia"
"Croatia",9,"Music","Music  -  Croatia"
"Croatia",1,"Musical","Musical  -  Croatia"
"Croatia",46,"Mystery","Mystery  -  Croatia"
"Croatia",19,"Reality TV","Reality TV  -  Croatia"
"Croatia",99,"Romance","Romance  -  Croatia"
"Croatia",14,"Sci Fi","Sci Fi  -  Croatia"
"Croatia",4,"Short","Short  -  Croatia"
"Croatia",13,"Sport","Sport  -  Croatia"
"Croatia",59,"Thriller","Thriller  -  Croatia"
"Croatia",4,"War","War  -  Croatia"
"Cyprus",192,"Action","Action  -  Cyprus"
"Cyprus",2,"Adult","Adult  -  Cyprus"
"Cyprus",133,"Adventure","Adventure  -  Cyprus"
"Cyprus",55,"Animation","Animation  -  Cyprus"
"Cyprus",13,"Biography","Biography  -  Cyprus"
"Cyprus",189,"Comedy","Comedy  -  Cyprus"
"Cyprus",128,"Crime","Crime  -  Cyprus"
"Cyprus",30,"Documentary","Documentary  -  Cyprus"
"Cyprus",337,"Drama","Drama  -  Cyprus"
"Cyprus",26,"Family","Family  -  Cyprus"
"Cyprus",29,"Fantasy","Fantasy  -  Cyprus"
"Cyprus",11,"Game Show","Game Show  -  Cyprus"
"Cyprus",1,"History","History  -  Cyprus"
"Cyprus",18,"Horror","Horror  -  Cyprus"
"Cyprus",7,"Music","Music  -  Cyprus"
"Cyprus",49,"Mystery","Mystery  -  Cyprus"
"Cyprus",15,"Reality TV","Reality TV  -  Cyprus"
"Cyprus",93,"Romance","Romance  -  Cyprus"
"Cyprus",44,"Sci Fi","Sci Fi  -  Cyprus"
"Cyprus",7,"Short","Short  -  Cyprus"
"Cyprus",9,"Sport","Sport  -  Cyprus"
