"id","n","label","parent"
"total  -  Horror  -  South Korea",28,"South Korea","total  -  Horror"
"total  -  Mystery  -  South Korea",46,"South Korea","total  -  Mystery"
"total  -  Romance  -  South Korea",107,"South Korea","total  -  Romance"
"total  -  Thriller  -  South Korea",87,"South Korea","total  -  Thriller"
"total  -  Action  -  Spain",165,"Spain","total  -  Action"
"total  -  Adventure  -  Spain",98,"Spain","total  -  Adventure"
"total  -  Animation  -  Spain",31,"Spain","total  -  Animation"
"total  -  Comedy  -  Spain",167,"Spain","total  -  Comedy"
"total  -  Crime  -  Spain",141,"Spain","total  -  Crime"
"total  -  Drama  -  Spain",336,"Spain","total  -  Drama"
"total  -  Fantasy  -  Spain",35,"Spain","total  -  Fantasy"
"total  -  Mystery  -  Spain",50,"Spain","total  -  Mystery"
"total  -  Romance  -  Spain",105,"Spain","total  -  Romance"
"total  -  Thriller  -  Spain",56,"Spain","total  -  Thriller"
"total  -  Action  -  Sri Lanka",182,"Sri Lanka","total  -  Action"
"total  -  Adventure  -  Sri Lanka",67,"Sri Lanka","total  -  Adventure"
"total  -  Comedy  -  Sri Lanka",180,"Sri Lanka","total  -  Comedy"
"total  -  Crime  -  Sri Lanka",138,"Sri Lanka","total  -  Crime"
"total  -  Drama  -  Sri Lanka",368,"Sri Lanka","total  -  Drama"
"total  -  Fantasy  -  Sri Lanka",31,"Sri Lanka","total  -  Fantasy"
"total  -  Mystery  -  Sri Lanka",78,"Sri Lanka","total  -  Mystery"
"total  -  Romance  -  Sri Lanka",111,"Sri Lanka","total  -  Romance"
"total  -  Sci Fi  -  Sri Lanka",36,"Sri Lanka","total  -  Sci Fi"
"total  -  Thriller  -  Sri Lanka",61,"Sri Lanka","total  -  Thriller"
"total  -  Action  -  Sweden",184,"Sweden","total  -  Action"
"total  -  Adventure  -  Sweden",121,"Sweden","total  -  Adventure"
"total  -  Animation  -  Sweden",58,"Sweden","total  -  Animation"
"total  -  Comedy  -  Sweden",158,"Sweden","total  -  Comedy"
"total  -  Crime  -  Sweden",143,"Sweden","total  -  Crime"
"total  -  Drama  -  Sweden",344,"Sweden","total  -  Drama"
"total  -  Fantasy  -  Sweden",45,"Sweden","total  -  Fantasy"
"total  -  Mystery  -  Sweden",51,"Sweden","total  -  Mystery"
"total  -  Romance  -  Sweden",82,"Sweden","total  -  Romance"
"total  -  Thriller  -  Sweden",56,"Sweden","total  -  Thriller"
"total  -  Action  -  Switzerland",184,"Switzerland","total  -  Action"
"total  -  Adventure  -  Switzerland",121,"Switzerland","total  -  Adventure"
"total  -  Comedy  -  Switzerland",181,"Switzerland","total  -  Comedy"
"total  -  Crime  -  Switzerland",158,"Switzerland","total  -  Crime"
"total  -  Drama  -  Switzerland",337,"Switzerland","total  -  Drama"
"total  -  Family  -  Switzerland",37,"Switzerland","total  -  Family"
"total  -  Fantasy  -  Switzerland",53,"Switzerland","total  -  Fantasy"
"total  -  Mystery  -  Switzerland",57,"Switzerland","total  -  Mystery"
"total  -  Romance  -  Switzerland",106,"Switzerland","total  -  Romance"
"total  -  Thriller  -  Switzerland",56,"Switzerland","total  -  Thriller"
"total  -  Action  -  Taiwan",202,"Taiwan","total  -  Action"
"total  -  Adventure  -  Taiwan",95,"Taiwan","total  -  Adventure"
"total  -  Comedy  -  Taiwan",158,"Taiwan","total  -  Comedy"
"total  -  Crime  -  Taiwan",116,"Taiwan","total  -  Crime"
"total  -  Drama  -  Taiwan",365,"Taiwan","total  -  Drama"
"total  -  Fantasy  -  Taiwan",35,"Taiwan","total  -  Fantasy"
"total  -  Mystery  -  Taiwan",81,"Taiwan","total  -  Mystery"
"total  -  Romance  -  Taiwan",145,"Taiwan","total  -  Romance"
"total  -  Sci Fi  -  Taiwan",46,"Taiwan","total  -  Sci Fi"
"total  -  Thriller  -  Taiwan",64,"Taiwan","total  -  Thriller"
"total  -  Action  -  Thailand",229,"Thailand","total  -  Action"
"total  -  Adventure  -  Thailand",144,"Thailand","total  -  Adventure"
"total  -  Animation  -  Thailand",51,"Thailand","total  -  Animation"
"total  -  Comedy  -  Thailand",208,"Thailand","total  -  Comedy"
"total  -  Crime  -  Thailand",118,"Thailand","total  -  Crime"
"total  -  Drama  -  Thailand",265,"Thailand","total  -  Drama"
"total  -  Mystery  -  Thailand",60,"Thailand","total  -  Mystery"
"total  -  Romance  -  Thailand",132,"Thailand","total  -  Romance"
"total  -  Sci Fi  -  Thailand",46,"Thailand","total  -  Sci Fi"
"total  -  Thriller  -  Thailand",70,"Thailand","total  -  Thriller"
"total  -  Action  -  Trinidad and Tobago",186,"Trinidad and Tobago","total  -  Action"
"total  -  Adventure  -  Trinidad and Tobago",109,"Trinidad and Tobago","total  -  Adventure"
"total  -  Animation  -  Trinidad and Tobago",57,"Trinidad and Tobago","total  -  Animation"
"total  -  Comedy  -  Trinidad and Tobago",162,"Trinidad and Tobago","total  -  Comedy"
"total  -  Crime  -  Trinidad and Tobago",133,"Trinidad and Tobago","total  -  Crime"
"total  -  Drama  -  Trinidad and Tobago",309,"Trinidad and Tobago","total  -  Drama"
"total  -  Fantasy  -  Trinidad and Tobago",39,"Trinidad and Tobago","total  -  Fantasy"
"total  -  Mystery  -  Trinidad and Tobago",51,"Trinidad and Tobago","total  -  Mystery"
"total  -  Romance  -  Trinidad and Tobago",105,"Trinidad and Tobago","total  -  Romance"
"total  -  Thriller  -  Trinidad and Tobago",98,"Trinidad and Tobago","total  -  Thriller"
"total  -  Action  -  Turkey",211,"Turkey","total  -  Action"
"total  -  Adventure  -  Turkey",107,"Turkey","total  -  Adventure"
"total  -  Animation  -  Turkey",34,"Turkey","total  -  Animation"
"total  -  Comedy  -  Turkey",151,"Turkey","total  -  Comedy"
"total  -  Crime  -  Turkey",154,"Turkey","total  -  Crime"
"total  -  Drama  -  Turkey",393,"Turkey","total  -  Drama"
"total  -  Fantasy  -  Turkey",64,"Turkey","total  -  Fantasy"
"total  -  Mystery  -  Turkey",62,"Turkey","total  -  Mystery"
"total  -  Romance  -  Turkey",84,"Turkey","total  -  Romance"
"total  -  Thriller  -  Turkey",64,"Turkey","total  -  Thriller"
"total  -  Action  -  Ukraine",216,"Ukraine","total  -  Action"
"total  -  Adventure  -  Ukraine",129,"Ukraine","total  -  Adventure"
"total  -  Animation  -  Ukraine",65,"Ukraine","total  -  Animation"
"total  -  Comedy  -  Ukraine",188,"Ukraine","total  -  Comedy"
"total  -  Crime  -  Ukraine",173,"Ukraine","total  -  Crime"
"total  -  Documentary  -  Ukraine",35,"Ukraine","total  -  Documentary"
"total  -  Drama  -  Ukraine",342,"Ukraine","total  -  Drama"
"total  -  Mystery  -  Ukraine",45,"Ukraine","total  -  Mystery"
"total  -  Romance  -  Ukraine",73,"Ukraine","total  -  Romance"
"total  -  Thriller  -  Ukraine",62,"Ukraine","total  -  Thriller"
"total  -  Action  -  United Arab Emirates",200,"United Arab Emirates","total  -  Action"
"total  -  Adventure  -  United Arab Emirates",111,"United Arab Emirates","total  -  Adventure"
"total  -  Animation  -  United Arab Emirates",40,"United Arab Emirates","total  -  Animation"
"total  -  Comedy  -  United Arab Emirates",165,"United Arab Emirates","total  -  Comedy"
"total  -  Crime  -  United Arab Emirates",139,"United Arab Emirates","total  -  Crime"
"total  -  Drama  -  United Arab Emirates",356,"United Arab Emirates","total  -  Drama"
"total  -  Fantasy  -  United Arab Emirates",44,"United Arab Emirates","total  -  Fantasy"
"total  -  Mystery  -  United Arab Emirates",50,"United Arab Emirates","total  -  Mystery"
"total  -  Romance  -  United Arab Emirates",112,"United Arab Emirates","total  -  Romance"
"total  -  Thriller  -  United Arab Emirates",62,"United Arab Emirates","total  -  Thriller"
"total  -  Action  -  United Kingdom",173,"United Kingdom","total  -  Action"
"total  -  Adventure  -  United Kingdom",136,"United Kingdom","total  -  Adventure"
"total  -  Animation  -  United Kingdom",62,"United Kingdom","total  -  Animation"
"total  -  Comedy  -  United Kingdom",210,"United Kingdom","total  -  Comedy"
"total  -  Crime  -  United Kingdom",109,"United Kingdom","total  -  Crime"
"total  -  Drama  -  United Kingdom",281,"United Kingdom","total  -  Drama"
"total  -  Fantasy  -  United Kingdom",44,"United Kingdom","total  -  Fantasy"
"total  -  Mystery  -  United Kingdom",38,"United Kingdom","total  -  Mystery"
"total  -  Romance  -  United Kingdom",81,"United Kingdom","total  -  Romance"
"total  -  Thriller  -  United Kingdom",49,"United Kingdom","total  -  Thriller"
"total  -  Action  -  United States",143,"United States","total  -  Action"
"total  -  Adventure  -  United States",102,"United States","total  -  Adventure"
"total  -  Animation  -  United States",52,"United States","total  -  Animation"
"total  -  Comedy  -  United States",164,"United States","total  -  Comedy"
"total  -  Crime  -  United States",112,"United States","total  -  Crime"
"total  -  Drama  -  United States",296,"United States","total  -  Drama"
"total  -  Family  -  United States",34,"United States","total  -  Family"
"total  -  Mystery  -  United States",54,"United States","total  -  Mystery"
"total  -  Romance  -  United States",72,"United States","total  -  Romance"
"total  -  Thriller  -  United States",59,"United States","total  -  Thriller"
"total  -  Action  -  Uruguay",136,"Uruguay","total  -  Action"
"total  -  Adventure  -  Uruguay",103,"Uruguay","total  -  Adventure"
"total  -  Animation  -  Uruguay",50,"Uruguay","total  -  Animation"
"total  -  Comedy  -  Uruguay",167,"Uruguay","total  -  Comedy"
"total  -  Crime  -  Uruguay",151,"Uruguay","total  -  Crime"
"total  -  Drama  -  Uruguay",376,"Uruguay","total  -  Drama"
"total  -  Music  -  Uruguay",38,"Uruguay","total  -  Music"
"total  -  Mystery  -  Uruguay",63,"Uruguay","total  -  Mystery"
"total  -  Romance  -  Uruguay",89,"Uruguay","total  -  Romance"
"total  -  Thriller  -  Uruguay",83,"Uruguay","total  -  Thriller"
"total  -  Action  -  Venezuela",135,"Venezuela","total  -  Action"
"total  -  Adventure  -  Venezuela",78,"Venezuela","total  -  Adventure"
"total  -  Animation  -  Venezuela",40,"Venezuela","total  -  Animation"
"total  -  Comedy  -  Venezuela",181,"Venezuela","total  -  Comedy"
"total  -  Crime  -  Venezuela",125,"Venezuela","total  -  Crime"
"total  -  Drama  -  Venezuela",334,"Venezuela","total  -  Drama"
"total  -  Music  -  Venezuela",31,"Venezuela","total  -  Music"
"total  -  Mystery  -  Venezuela",45,"Venezuela","total  -  Mystery"
"total  -  Romance  -  Venezuela",117,"Venezuela","total  -  Romance"
"total  -  Thriller  -  Venezuela",79,"Venezuela","total  -  Thriller"
"total  -  Action  -  Vietnam",257,"Vietnam","total  -  Action"
"total  -  Adventure  -  Vietnam",131,"Vietnam","total  -  Adventure"
"total  -  Comedy  -  Vietnam",245,"Vietnam","total  -  Comedy"
"total  -  Crime  -  Vietnam",121,"Vietnam","total  -  Crime"
"total  -  Drama  -  Vietnam",331,"Vietnam","total  -  Drama"
"total  -  Fantasy  -  Vietnam",51,"Vietnam","total  -  Fantasy"
"total  -  Mystery  -  Vietnam",56,"Vietnam","total  -  Mystery"
"total  -  Romance  -  Vietnam",121,"Vietnam","total  -  Romance"
"total  -  Sci Fi  -  Vietnam",48,"Vietnam","total  -  Sci Fi"
"total  -  Thriller  -  Vietnam",74,"Vietnam","total  -  Thriller"
