"parents","n","labels","id"
"Bolivia",5,"Sport","Bolivia  -  Sport"
"Bolivia",49,"Thriller","Bolivia  -  Thriller"
"Bolivia",2,"War","Bolivia  -  War"
"Brazil",154,"Action","Brazil  -  Action"
"Brazil",4,"Adult","Brazil  -  Adult"
"Brazil",210,"Adventure","Brazil  -  Adventure"
"Brazil",75,"Animation","Brazil  -  Animation"
"Brazil",12,"Biography","Brazil  -  Biography"
"Brazil",203,"Comedy","Brazil  -  Comedy"
"Brazil",113,"Crime","Brazil  -  Crime"
"Brazil",22,"Documentary","Brazil  -  Documentary"
"Brazil",298,"Drama","Brazil  -  Drama"
"Brazil",70,"Family","Brazil  -  Family"
"Brazil",27,"Fantasy","Brazil  -  Fantasy"
"Brazil",4,"Game Show","Brazil  -  Game Show"
"Brazil",22,"Horror","Brazil  -  Horror"
"Brazil",19,"Music","Brazil  -  Music"
"Brazil",23,"Musical","Brazil  -  Musical"
"Brazil",51,"Mystery","Brazil  -  Mystery"
"Brazil",11,"Reality TV","Brazil  -  Reality TV"
"Brazil",121,"Romance","Brazil  -  Romance"
"Brazil",17,"Sci Fi","Brazil  -  Sci Fi"
"Brazil",2,"Short","Brazil  -  Short"
"Brazil",5,"Sport","Brazil  -  Sport"
"Brazil",58,"Thriller","Brazil  -  Thriller"
"Brazil",2,"War","Brazil  -  War"
"Bulgaria",216,"Action","Bulgaria  -  Action"
"Bulgaria",3,"Adult","Bulgaria  -  Adult"
"Bulgaria",127,"Adventure","Bulgaria  -  Adventure"
"Bulgaria",50,"Animation","Bulgaria  -  Animation"
"Bulgaria",15,"Biography","Bulgaria  -  Biography"
"Bulgaria",183,"Comedy","Bulgaria  -  Comedy"
"Bulgaria",124,"Crime","Bulgaria  -  Crime"
"Bulgaria",37,"Documentary","Bulgaria  -  Documentary"
"Bulgaria",323,"Drama","Bulgaria  -  Drama"
"Bulgaria",19,"Family","Bulgaria  -  Family"
"Bulgaria",42,"Fantasy","Bulgaria  -  Fantasy"
"Bulgaria",14,"Game Show","Bulgaria  -  Game Show"
"Bulgaria",2,"History","Bulgaria  -  History"
"Bulgaria",24,"Horror","Bulgaria  -  Horror"
"Bulgaria",4,"Music","Bulgaria  -  Music"
"Bulgaria",45,"Mystery","Bulgaria  -  Mystery"
"Bulgaria",18,"Reality TV","Bulgaria  -  Reality TV"
"Bulgaria",104,"Romance","Bulgaria  -  Romance"
"Bulgaria",39,"Sci Fi","Bulgaria  -  Sci Fi"
"Bulgaria",4,"Short","Bulgaria  -  Short"
"Bulgaria",11,"Sport","Bulgaria  -  Sport"
"Bulgaria",54,"Thriller","Bulgaria  -  Thriller"
"Bulgaria",3,"War","Bulgaria  -  War"
"Canada",161,"Action","Canada  -  Action"
"Canada",3,"Adult","Canada  -  Adult"
"Canada",104,"Adventure","Canada  -  Adventure"
"Canada",56,"Animation","Canada  -  Animation"
"Canada",20,"Biography","Canada  -  Biography"
"Canada",174,"Comedy","Canada  -  Comedy"
"Canada",146,"Crime","Canada  -  Crime"
"Canada",30,"Documentary","Canada  -  Documentary"
"Canada",284,"Drama","Canada  -  Drama"
"Canada",11,"Family","Canada  -  Family"
"Canada",28,"Fantasy","Canada  -  Fantasy"
"Canada",16,"Game Show","Canada  -  Game Show"
"Canada",4,"History","Canada  -  History"
"Canada",30,"Horror","Canada  -  Horror"
"Canada",7,"Music","Canada  -  Music"
"Canada",67,"Mystery","Canada  -  Mystery"
"Canada",33,"Reality TV","Canada  -  Reality TV"
"Canada",87,"Romance","Canada  -  Romance"
"Canada",27,"Sci Fi","Canada  -  Sci Fi"
"Canada",4,"Short","Canada  -  Short"
"Canada",7,"Sport","Canada  -  Sport"
"Canada",82,"Thriller","Canada  -  Thriller"
"Canada",5,"War","Canada  -  War"
"Canada",2,"Western","Canada  -  Western"
"Chile",132,"Action","Chile  -  Action"
"Chile",2,"Adult","Chile  -  Adult"
"Chile",120,"Adventure","Chile  -  Adventure"
"Chile",77,"Animation","Chile  -  Animation"
"Chile",7,"Biography","Chile  -  Biography"
"Chile",201,"Comedy","Chile  -  Comedy"
"Chile",109,"Crime","Chile  -  Crime"
"Chile",16,"Documentary","Chile  -  Documentary"
"Chile",343,"Drama","Chile  -  Drama"
"Chile",15,"Family","Chile  -  Family"
"Chile",22,"Fantasy","Chile  -  Fantasy"
"Chile",2,"History","Chile  -  History"
"Chile",21,"Horror","Chile  -  Horror"
"Chile",37,"Music","Chile  -  Music"
"Chile",1,"Musical","Chile  -  Musical"
"Chile",45,"Mystery","Chile  -  Mystery"
"Chile",2,"Reality TV","Chile  -  Reality TV"
"Chile",123,"Romance","Chile  -  Romance"
"Chile",14,"Sci Fi","Chile  -  Sci Fi"
"Chile",2,"Short","Chile  -  Short"
"Chile",6,"Sport","Chile  -  Sport"
"Chile",55,"Thriller","Chile  -  Thriller"
"Chile",3,"War","Chile  -  War"
"Colombia",143,"Action","Colombia  -  Action"
